pde,metric,n,mean,std,median,min,max,cv,bootstrap_ci95_lo,bootstrap_ci95_hi
elliptic,rel_l2_test,5,0.008378202624282863,0.007922825240670393,0.008013309338897696,0.0010893767692937133,0.02060882183335033,0.9456473656661595,0.002736212202091149,0.01480119413598471
elliptic,heldout_residual_mse,5,0.13425226211547853,0.16969588159236426,0.05281634256243706,0.031706683337688446,0.43180686235427856,1.2640076146083745,0.03860865607857704,0.2887303814291954
elliptic,boundary_l2_abs,5,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
elliptic,boundary_max_abs,5,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
elliptic,h1_semi_rel,5,0.011705816339836358,0.009614205290710543,0.00949280001051513,0.003923665968069431,0.02778312653045112,0.8213186514803072,0.00545618730554393,0.02013577375629989
elliptic,min_pred,5,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
elliptic,max_pred,5,1.0014879822731018,0.0058710884914573176,0.9990239143371582,0.9948359131813049,1.0084137916564941,0.005862365395670115,0.9970474958419799,1.0059284687042236
elliptic,frac_negative,5,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
elliptic,max_negativity_violation,5,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
elliptic,mean_negativity_violation,5,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
elliptic,symmetry_l2,5,5.470977129107268e-08,1.867388202931318e-09,5.5005873633717783e-08,5.1659799993331035e-08,5.6668962855610516e-08,0.03413262674772012,5.303872399053944e-08,5.600163959229576e-08
elliptic,symmetry_max_abs,5,3.218650817871094e-07,3.2646808475563895e-08,2.980232238769531e-07,2.980232238769531e-07,3.5762786865234375e-07,0.10143010324169743,2.980232238769531e-07,3.457069396972656e-07
elliptic,swap_xy_symmetry_max_abs,5,2.384185791015625e-07,0.0,2.384185791015625e-07,2.384185791015625e-07,2.384185791015625e-07,0.0,2.384185791015625e-07,2.384185791015625e-07
elliptic,reflect_x_symmetry_max_abs,5,3.0994415283203126e-07,2.6656007498500224e-08,2.980232238769531e-07,2.980232238769531e-07,3.5762786865234375e-07,0.08600261451922267,2.980232238769531e-07,3.337860107421875e-07
elliptic,reflect_y_symmetry_max_abs,5,2.7418136596679685e-07,3.264680847556389e-08,2.980232238769531e-07,2.384185791015625e-07,2.980232238769531e-07,0.11907012119677524,2.5033950805664064e-07,2.980232238769531e-07
elliptic,rotate_180_symmetry_max_abs,5,3.218650817871094e-07,3.2646808475563895e-08,2.980232238769531e-07,2.980232238769531e-07,3.5762786865234375e-07,0.10143010324169743,2.980232238769531e-07,3.457069396972656e-07
elliptic,train_seconds,5,537.6795097351074,153.67887410534408,605.0219810009003,314.5221359729767,674.9548850059509,0.2858187290437297,412.54262776374816,647.0789060819153
elliptic,epochs,5,4000.0,0.0,4000.0,4000.0,4000.0,0.0,4000.0,4000.0
