pde,metric,n,mean,std,median,min,max,cv,bootstrap_ci95_lo,bootstrap_ci95_hi
parabolic,rel_l2_test,5,0.0002696126478303962,0.00012989864496903235,0.0002311163049510033,0.00013921054959102527,0.00048264434771070925,0.481797297027204,0.00018254473713446383,0.00038203313060682683
parabolic,heldout_residual_mse,5,1.7798986027628418e-05,2.0329162084894942e-05,9.03136060514953e-06,7.620939413754968e-06,5.4145388276083395e-05,1.1421528200167732,8.212012016883818e-06,3.60529344106908e-05
parabolic,ic_max_abs,5,2.2611672398364924e-07,0.0,2.2611672398364924e-07,2.2611672398364924e-07,2.2611672398364924e-07,0.0,2.2611672398364924e-07,2.2611672398364924e-07
parabolic,bc_max_abs,5,8.742277657347586e-08,0.0,8.742277657347586e-08,8.742277657347586e-08,8.742277657347586e-08,0.0,8.742277657347586e-08,8.742277657347586e-08
parabolic,final_time_rel_l2,5,0.00027256980661224934,0.00010588431162274145,0.00024970232499539743,0.00012957172820413817,0.00039443962308412586,0.3884667672431147,0.000190492897540737,0.00035449084520599255
parabolic,min_pred,5,-8.742277657347586e-08,0.0,-8.742277657347586e-08,-8.742277657347586e-08,-8.742277657347586e-08,0.0,-8.742277657347586e-08,-8.742277657347586e-08
parabolic,max_pred,5,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0
parabolic,frac_negative,5,0.004149377593360996,0.0,0.004149377593360996,0.004149377593360996,0.004149377593360996,0.0,0.004149377593360996,0.004149377593360996
parabolic,neg_part_l2,5,5.6313962382148475e-09,0.0,5.6313962382148475e-09,5.6313962382148475e-09,5.6313962382148475e-09,0.0,5.6313962382148475e-09,5.6313962382148475e-09
parabolic,max_lower_violation,5,2.2611672398364924e-07,0.0,2.2611672398364924e-07,2.2611672398364924e-07,2.2611672398364924e-07,0.0,2.2611672398364924e-07,2.2611672398364924e-07
parabolic,max_upper_violation,5,1.1585084502829801e-07,0.0,1.1585084502829801e-07,1.1585084502829801e-07,1.1585084502829801e-07,0.0,1.1585084502829801e-07,1.1585084502829801e-07
parabolic,mean_barrier_violation,5,5.852965029410575e-10,0.0,5.852965029410575e-10,5.852965029410575e-10,5.852965029410575e-10,0.0,5.852965029410575e-10,5.852965029410575e-10
parabolic,min_over_x_vs_t_min,5,-8.742277657347586e-08,0.0,-8.742277657347586e-08,-8.742277657347586e-08,-8.742277657347586e-08,0.0,-8.742277657347586e-08,-8.742277657347586e-08
parabolic,train_seconds,5,349.569553899765,33.27513533262502,356.7621738910675,298.44480299949646,390.350554227829,0.09518888290301813,321.77175135612487,374.41041655540465
parabolic,epochs,5,5000.0,0.0,5000.0,5000.0,5000.0,0.0,5000.0,5000.0
